,Clinic - Ambulatory Surgical Center January 2020,,,,,,,
24420,Revision of humerus,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24430,Repair of humerus,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24435,Repair humerus with graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24470,Revision of elbow joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24495,Decompression of forearm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24498,Reinforce humerus,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24500,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24505,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24515,Treat humerus fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24516,Treat humerus fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24530,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24535,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24538,Treat humerus fracture,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24545,Treat humerus fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24546,Treat humerus fracture,  ,                                        ,ASC,717,10/1/08,12/31/99, 
24560,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24565,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24566,Treat humerus fracture,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24575,Treat humerus fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24576,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24577,Treat humerus fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24579,Treat humerus fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24582,Treat humerus fracture,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24586,Treat elbow fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24587,Treat elbow fracture,  ,                                        ,ASC,717,10/1/08,12/31/99, 
24600,Treat elbow dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24605,Treat elbow dislocation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
24615,Treat elbow dislocation,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24620,Treat elbow fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24635,Treat elbow fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24655,Treat radius fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24665,Treat radius fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24666,Treat radius fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24670,Treat ulnar fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24675,Treat ulnar fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
24685,Treat ulnar fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
24800,Fusion of elbow joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
24802,Fusion/graft of elbow joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
24925,Amputation follow-up surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25000,Incision of tendon sheath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25020,Decompress forearm 1 space,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25023,Decompress forearm 1 space,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25024,Decompress forearm 2 spaces,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25025,Decompress forearm 2 spaces,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25028,Drainage of forearm lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
25031,Drainage of forearm bursa,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25035,Treat forearm bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25040,Explore/treat wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25066,Biopsy forearm soft tissues,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25075,Exc forearm les sc < 3 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25076,Exc forearm tum deep < 3 cm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25077,Resect forearm/wrist tum<3cm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25085,Incision of wrist capsule,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25100,Biopsy of wrist joint,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25101,Explore/treat wrist joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25105,Remove wrist joint lining,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25107,Remove wrist joint cartilage,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25110,Remove wrist tendon lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25111,Remove wrist tendon lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25112,Reremove wrist tendon lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25115,Remove wrist/forearm lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25116,Remove wrist/forearm lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25118,Excise wrist tendon sheath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25119,Partial removal of ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25120,Removal of forearm lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25125,Remove/graft forearm lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25126,Remove/graft forearm lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25130,Removal of wrist lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25135,Remove & graft wrist lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25136,Remove & graft wrist lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25145,Remove forearm bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25150,Partial removal of ulna,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25151,Partial removal of radius,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25210,Removal of wrist bone,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25215,Removal of wrist bones,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25230,Partial removal of radius,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25240,Partial removal of ulna,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25248,Remove forearm foreign body,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25250,Removal of wrist prosthesis,  ,                                        ,ASC,333,10/1/08,12/31/99, 
25251,Removal of wrist prosthesis,  ,                                        ,ASC,333,10/1/08,12/31/99, 
25260,Repair forearm tendon/muscle,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25263,Repair forearm tendon/muscle,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25265,Repair forearm tendon/muscle,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25270,Repair forearm tendon/muscle,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25272,Repair forearm tendon/muscle,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25274,Repair forearm tendon/muscle,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25275,Repair forearm tendon sheath,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25280,Revise wrist/forearm tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25290,Incise wrist/forearm tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25295,Release wrist/forearm tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25300,Fusion of tendons at wrist,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25301,Fusion of tendons at wrist,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25310,Transplant forearm tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25312,Transplant forearm tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25315,Revise palsy hand tendon(s),  ,                                        ,ASC,510,10/1/08,12/31/99, 
25316,Revise palsy hand tendon(s),  ,                                        ,ASC,510,10/1/08,12/31/99, 
25320,Repair/revise wrist joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25332,Revise wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25335,Realignment of hand,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25337,Reconstruct ulna/radioulnar,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25355,Revision of radius,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25360,Revision of ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25365,Revise radius & ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25370,Revise radius or ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25375,Revise radius & ulna,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25390,Shorten radius or ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25391,Lengthen radius or ulna,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25392,Shorten radius & ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25393,Lengthen radius & ulna,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25400,Repair radius or ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25405,Repair/graft radius or ulna,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25415,Repair radius & ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25420,Repair/graft radius & ulna,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25425,Repair/graft radius or ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25426,Repair/graft radius & ulna,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25440,Repair/graft wrist bone,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25441,Reconstruct wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25442,Reconstruct wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25443,Reconstruct wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25444,Reconstruct wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25445,Reconstruct wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25446,Wrist replacement,  ,                                        ,ASC,995,10/1/08,12/31/99, 
25447,Repair wrist joints,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25449,Remove wrist joint implant,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25450,Revision of wrist joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25455,Revision of wrist joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25490,Reinforce radius,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25491,Reinforce ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25492,Reinforce radius and ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25505,Treat fracture of radius,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25515,Treat fracture of radius,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25520,Treat fracture of radius,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25525,Treat fracture of radius,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25526,Treat fracture of radius,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25535,Treat fracture of ulna,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25545,Treat fracture of ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25565,Treat fracture radius & ulna,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25574,Treat fracture radius & ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25575,Treat fracture radius/ulna,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25605,Treat fracture radius/ulna,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25606,Treat fx distal radial,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25607,Treat fx rad extra-articul,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25608,Treat fx rad intra-articul,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25609,Treat fx radial 3+ frag,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25624,Treat wrist bone fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25628,Treat wrist bone fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25635,Treat wrist bone fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25645,Treat wrist bone fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25660,Treat wrist dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25670,Treat wrist dislocation,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25671,Pin radioulnar dislocation,  ,                                        ,ASC,333,10/1/08,12/31/99, 
25675,Treat wrist dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25676,Treat wrist dislocation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25680,Treat wrist fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25685,Treat wrist fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25690,Treat wrist dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
25695,Treat wrist dislocation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
25800,Fusion of wrist joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25805,Fusion/graft of wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25810,Fusion/graft of wrist joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25820,Fusion of hand bones,  ,                                        ,ASC,630,10/1/08,12/31/99, 
25825,Fuse hand bones with graft,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25830,Fusion radioulnar jnt/ulna,  ,                                        ,ASC,717,10/1/08,12/31/99, 
25907,Amputation follow-up surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25922,Amputate hand at wrist,  ,                                        ,ASC,510,10/1/08,12/31/99, 
25929,Amputation follow-up surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26011,Drainage of finger abscess,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26020,Drain hand tendon sheath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26025,Drainage of palm bursa,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26030,Drainage of palm bursas,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26034,Treat hand bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26040,Release palm contracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26045,Release palm contracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26055,Incise finger tendon sheath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26060,Incision of finger tendon,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26070,Explore/treat hand joint,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26075,Explore/treat finger joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26080,Explore/treat finger joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26100,Biopsy hand joint lining,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26105,Biopsy finger joint lining,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26110,Biopsy finger joint lining,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26115,Exc hand les sc < 1.5 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26116,Exc hand tum deep < 1.5 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26117,Rad resect hand tumor < 3 cm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26121,Release palm contracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26123,Release palm contracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26125,Release palm contracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26130,Remove wrist joint lining,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26135,Revise finger joint each,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26140,Revise finger joint each,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26145,Tendon excision palm/finger,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26160,Remove tendon sheath lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26170,Removal of palm tendon each,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26180,Removal of finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26185,Remove finger bone,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26200,Remove hand bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26205,Remove/graft bone lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26210,Removal of finger lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26215,Remove/graft finger lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26230,Partial removal of hand bone,  ,                                        ,ASC,992.95,10/1/08,12/31/99, 
26235,Partial removal finger bone,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26236,Partial removal finger bone,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26250,Extensive hand surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26260,Resect prox finger tumor,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26262,Resect distal finger tumor,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26320,Removal of implant from hand,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26350,Repair finger/hand tendon,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26352,Repair/graft hand tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26356,Repair finger/hand tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26357,Repair finger/hand tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26358,Repair/graft hand tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26370,Repair finger/hand tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26372,Repair/graft hand tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26373,Repair finger/hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26390,Revise hand/finger tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26392,Repair/graft hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26410,Repair hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26412,Repair/graft hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26415,Excision hand/finger tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26416,Graft hand or finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26418,Repair finger tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26420,Repair/graft finger tendon,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26426,Repair finger/hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26428,Repair/graft finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26432,Repair finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26433,Repair finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26434,Repair/graft finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26437,Realignment of tendons,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26440,Release palm/finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26442,Release palm & finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26445,Release hand/finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26449,Release forearm/hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26450,Incision of palm tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26455,Incision of finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26460,Incise hand/finger tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26471,Fusion of finger tendons,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26474,Fusion of finger tendons,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26476,Tendon lengthening,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26477,Tendon shortening,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26478,Lengthening of hand tendon,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26479,Shortening of hand tendon,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26480,Transplant hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26483,Transplant/graft hand tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26485,Transplant palm tendon,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26489,Transplant/graft palm tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26490,Revise thumb tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26492,Tendon transfer with graft,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26494,Hand tendon/muscle transfer,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26496,Revise thumb tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26497,Finger tendon transfer,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26498,Finger tendon transfer,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26499,Revision of finger,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26500,Hand tendon reconstruction,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26502,Hand tendon reconstruction,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26508,Release thumb contracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26510,Thumb tendon transfer,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26516,Fusion of knuckle joint,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26517,Fusion of knuckle joints,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26518,Fusion of knuckle joints,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26520,Release knuckle contracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26525,Release finger contracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26530,Revise knuckle joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26531,Revise knuckle with implant,  ,                                        ,ASC,995,10/1/08,12/31/99, 
26535,Revise finger joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26536,Revise/implant finger joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26540,Repair hand joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26541,Repair hand joint with graft,  ,                                        ,ASC,995,10/1/08,12/31/99, 
26542,Repair hand joint with graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26545,Reconstruct finger joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26546,Repair nonunion hand,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26548,Reconstruct finger joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26550,Construct thumb replacement,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26555,Positional change of finger,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26560,Repair of web finger,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26561,Repair of web finger,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26562,Repair of web finger,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26565,Correct metacarpal flaw,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26567,Correct finger deformity,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26568,Lengthen metacarpal/finger,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26580,Repair hand deformity,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26587,Reconstruct extra finger,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26590,Repair finger deformity,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26591,Repair muscles of hand,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26593,Release muscles of hand,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26596,Excision constricting tissue,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26605,Treat metacarpal fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
26607,Treat metacarpal fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
26608,Treat metacarpal fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26615,Treat metacarpal fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26645,Treat thumb fracture,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
26650,Treat thumb fracture,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26665,Treat thumb fracture,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26675,Treat hand dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
26676,Pin hand dislocation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26685,Treat hand dislocation,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26686,Treat hand dislocation,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26705,Treat knuckle dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
26706,Pin knuckle dislocation,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
26715,Treat knuckle dislocation,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26727,Treat finger fracture each,  ,                                        ,ASC,995,10/1/08,12/31/99, 
26735,Treat finger fracture each,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26742,Treat finger fracture each,  ,                                        ,ASC,103.62,10/1/08,12/31/99, 
26746,Treat finger fracture each,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26756,Pin finger fracture each,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26765,Treat finger fracture each,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26776,Pin finger dislocation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26785,Treat finger dislocation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26820,Thumb fusion with graft,  ,                                        ,ASC,717,10/1/08,12/31/99, 
26841,Fusion of thumb,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26842,Thumb fusion with graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26843,Fusion of hand joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26844,Fusion/graft of hand joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26850,Fusion of knuckle,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26852,Fusion of knuckle with graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26860,Fusion of finger joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26861,Fusion of finger jnt add-on,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26862,Fusion/graft of finger joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26863,Fuse/graft added joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26910,Amputate metacarpal bone,  ,                                        ,ASC,510,10/1/08,12/31/99, 
26951,Amputation of finger/thumb,  ,                                        ,ASC,446,10/1/08,12/31/99, 
26952,Amputation of finger/thumb,  ,                                        ,ASC,630,10/1/08,12/31/99, 
26990,Drainage of pelvis lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
26991,Drainage of pelvis bursa,  ,                                        ,ASC,333,10/1/08,12/31/99, 
27000,Incision of hip tendon,  ,                                        ,ASC,446,10/1/08,12/31/99, 
27001,Incision of hip tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
27003,Incision of hip tendon,  ,                                        ,ASC,510,10/1/08,12/31/99, 
27033,Exploration of hip joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
27035,Denervation of hip joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
27040,Biopsy of soft tissues,  ,                                        ,ASC,333,10/1/08,12/31/99, 
