township,program,count
New Fairfield,State Funded Medical,6
New Fairfield,State Supplement,0
New Fairfield,TFA,30
New Hartford,CADAP,0
New Hartford,CHCPE,9
New Hartford,CHIP,70
New Hartford,Medicaid,955
New Hartford,MSP,208
New Hartford,SAGA,8
New Hartford,SNAP,240
New Hartford,State Funded Medical,0
New Hartford,State Supplement,22
New Hartford,TFA,17
New Haven,CADAP,191
New Haven,CHCPE,219
New Haven,CHIP,"1,072"
New Haven,ConnTRANS,0
New Haven,Medicaid,"71,069"
New Haven,MSP,"9,807"
New Haven,Refugee Cash,32
New Haven,SAGA,"1,130"
New Haven,SAGA Funeral,71
New Haven,SNAP,"48,089"
New Haven,Social Work Services,82
New Haven,State Funded Medical,69
New Haven,State Medical,0
New Haven,State Supplement,"1,350"
New Haven,TFA,"5,347"
Newington,CADAP,11
Newington,CHCPE,60
Newington,CHIP,281
Newington,Medicaid,"5,915"
Newington,MSP,"1,965"
Newington,SAGA,58
Newington,SAGA Funeral,15
Newington,SNAP,"2,431"
Newington,Social Work Services,20
Newington,State Funded Medical,5
Newington,State Supplement,112
Newington,TFA,131
New London,CADAP,28
New London,CHCPE,31
New London,CHIP,222
New London,Medicaid,"15,123"
New London,MSP,"2,329"
New London,Refugee Cash,0
New London,SAGA,254
New London,SAGA Funeral,38
New London,SNAP,"9,760"
New London,Social Work Services,136
New London,State Funded Medical,13
New London,State Medical,0
New London,State Supplement,408
New London,TFA,907
New Milford,CADAP,7
New Milford,CHCPE,48
New Milford,CHIP,383
New Milford,Medicaid,"5,695"
New Milford,MSP,"1,279"
New Milford,SAGA,38
New Milford,SAGA Funeral,8
New Milford,SNAP,"1,841"
New Milford,Social Work Services,8
New Milford,State Funded Medical,15
New Milford,State Supplement,41
New Milford,TFA,95
Newtown,CADAP,0
Newtown,CHCPE,34
Newtown,CHIP,223
Newtown,Medicaid,"3,019"
Newtown,MSP,700
Newtown,SAGA,12
Newtown,SAGA Funeral,5
Newtown,SNAP,668
Newtown,Social Work Services,0
Newtown,State Funded Medical,6
Newtown,State Supplement,37
Newtown,TFA,32
Norfolk,CHCPE,0
Norfolk,CHIP,24
Norfolk,Medicaid,284
Norfolk,MSP,84
Norfolk,SAGA,0
Norfolk,SNAP,88
Norfolk,State Supplement,0
Norfolk,TFA,7
North Branford,CADAP,0
North Branford,CHCPE,28
North Branford,CHIP,130
North Branford,Medicaid,"1,888"
North Branford,MSP,585
North Branford,SAGA,14
North Branford,SAGA Funeral,0
North Branford,SNAP,616
North Branford,Social Work Services,0
North Branford,State Funded Medical,0
North Branford,State Supplement,34
North Branford,TFA,42
North Canaan,CHCPE,0
North Canaan,CHIP,5
North Canaan,Medicaid,177
North Canaan,MSP,49
North Canaan,SNAP,68
North Canaan,State Funded Medical,0
North Canaan,State Supplement,0
North Canaan,TFA,0
North Haven,CADAP,13
North Haven,CHCPE,39
North Haven,CHIP,166
North Haven,Medicaid,"3,637"
North Haven,MSP,"1,318"
North Haven,Refugee Cash,0
North Haven,SAGA,29
North Haven,SAGA Funeral,0
North Haven,SNAP,"1,228"
North Haven,Social Work Services,0
North Haven,State Funded Medical,0
North Haven,State Medical,0
North Haven,State Supplement,69
North Haven,TFA,89
North Stonington,CADAP,0
North Stonington,CHCPE,0
North Stonington,CHIP,45
North Stonington,Medicaid,849
North Stonington,MSP,185
North Stonington,SAGA,5
North Stonington,SNAP,248
North Stonington,Social Work Services,91
North Stonington,State Supplement,10
North Stonington,TFA,11
Norwalk,CADAP,70
Norwalk,CHCPE,90
Norwalk,CHIP,"1,131"
Norwalk,Medicaid,"24,194"
Norwalk,MSP,"3,950"
Norwalk,SAGA,162
Norwalk,SAGA Funeral,22
Norwalk,SNAP,"8,540"
Norwalk,Social Work Services,40
Norwalk,State Funded Medical,16
Norwalk,State Supplement,190
Norwalk,TFA,549
Norwich,CADAP,31
Norwich,CHCPE,63
Norwich,CHIP,394
Norwich,Medicaid,"19,644"
Norwich,MSP,"3,560"
Norwich,SAGA,261
Norwich,SAGA Funeral,44
Norwich,SNAP,"12,267"
Norwich,Social Work Services,425
Norwich,State Funded Medical,12
Norwich,State Supplement,481
Norwich,TFA,"1,047"
Old Lyme,CADAP,0
Old Lyme,CHCPE,10
Old Lyme,CHIP,62
Old Lyme,Medicaid,929
Old Lyme,MSP,246
Old Lyme,SAGA,7
Old Lyme,SAGA Funeral,0
Old Lyme,SNAP,278
Old Lyme,Social Work Services,0
Old Lyme,State Supplement,26
Old Lyme,TFA,20
Old Saybrook,CADAP,0
Old Saybrook,CHCPE,22
Old Saybrook,CHIP,83
Old Saybrook,Medicaid,"1,710"
Old Saybrook,MSP,553
Old Saybrook,SAGA,7
Old Saybrook,SAGA Funeral,0
Old Saybrook,SNAP,432
Old Saybrook,Social Work Services,0
Old Saybrook,State Supplement,26
Old Saybrook,TFA,12
Orange,CADAP,0
Orange,CHCPE,25
Orange,CHIP,85
Orange,Medicaid,"1,616"
Orange,MSP,454
Orange,SAGA,6
Orange,SAGA Funeral,0
Orange,SNAP,412
Orange,Social Work Services,0
Orange,State Funded Medical,0
Orange,State Supplement,33
Orange,TFA,27
Out of State,CHCPE,0
Out of State,CHIP,80
Out of State,Medicaid,"3,836"
Out of State,MSP,752
Out of State,SAGA,31
Out of State,SNAP,"1,762"
Out of State,Social Work Services,32
Out of State,State Funded Medical,7
Out of State,State Supplement,57
Out of State,TFA,334
Oxford,CADAP,0
Oxford,CHCPE,18
Oxford,CHIP,75
Oxford,Medicaid,"1,461"
Oxford,MSP,363
Oxford,SAGA,9
Oxford,SAGA Funeral,0
Oxford,SNAP,409
Oxford,Social Work Services,0
Oxford,State Funded Medical,0
Oxford,State Supplement,30
Oxford,TFA,22
Plainfield,CADAP,0
Plainfield,CHCPE,16
Plainfield,CHIP,179
Plainfield,Medicaid,"5,456"
Plainfield,MSP,"1,226"
Plainfield,SAGA,48
Plainfield,SAGA Funeral,6
Plainfield,SNAP,"2,807"
Plainfield,Social Work Services,149
Plainfield,State Funded Medical,0
Plainfield,State Supplement,68
Plainfield,TFA,201
Plainville,CADAP,12
Plainville,CHCPE,47
Plainville,CHIP,221
Plainville,Medicaid,"4,107"
Plainville,MSP,"1,349"
Plainville,SAGA,54
Plainville,SAGA Funeral,13
Plainville,SNAP,"1,790"
Plainville,Social Work Services,17
Plainville,State Funded Medical,0
Plainville,State Supplement,98
Plainville,TFA,124
Plymouth,CADAP,0
Plymouth,CHCPE,32
Plymouth,CHIP,134
Plymouth,Medicaid,"2,950"
Plymouth,MSP,797
Plymouth,SAGA,20
Plymouth,SAGA Funeral,13
Plymouth,SNAP,"1,300"
Plymouth,Social Work Services,8
Plymouth,State Funded Medical,0
Plymouth,State Supplement,50
Plymouth,TFA,93
Pomfret,CADAP,0
Pomfret,CHCPE,0
Pomfret,CHIP,36
Pomfret,Medicaid,634
Pomfret,MSP,165
Pomfret,SAGA,6
Pomfret,SAGA Funeral,0
Pomfret,SNAP,233
Pomfret,Social Work Services,57
Pomfret,State Supplement,18
Pomfret,TFA,10
Portland,CHCPE,15
Portland,CHIP,79
Portland,Medicaid,"1,802"
Portland,Medical,0
Portland,MSP,443
Portland,SAGA,14
Portland,SAGA Funeral,0
Portland,SNAP,901
Portland,Social Work Services,0
Portland,State Funded Medical,0
Portland,State Supplement,85
Portland,TFA,52
Preston,CHCPE,7
Preston,CHIP,41
Preston,Medicaid,861
Preston,MSP,210
Preston,SAGA,7
Preston,SAGA Funeral,0
Preston,SNAP,342
Preston,Social Work Services,9
Preston,State Supplement,15
Preston,TFA,22
Prospect,CADAP,0
Prospect,CHCPE,18
Prospect,CHIP,61
Prospect,Medicaid,"1,230"
Prospect,MSP,441
Prospect,SAGA,12
Prospect,SNAP,403
Prospect,Social Work Services,0
Prospect,State Funded Medical,0
Prospect,State Supplement,29
Prospect,TFA,26
Putnam,CADAP,0
Putnam,CHCPE,10
Putnam,CHIP,116
Putnam,Medicaid,"3,616"
Putnam,MSP,"1,022"
Putnam,Refugee Cash,0
Putnam,SAGA,23
Putnam,SAGA Funeral,0
Putnam,SNAP,"1,963"
Putnam,Social Work Services,92
Putnam,State Funded Medical,0
Putnam,State Supplement,58
Putnam,TFA,170
Redding,CHCPE,5
Redding,CHIP,54
Redding,Medicaid,728
Redding,MSP,99
Redding,SAGA,0
Redding,SAGA Funeral,0
Redding,SNAP,130
Redding,Social Work Services,0
Redding,State Funded Medical,0
Redding,State Supplement,0
Redding,TFA,5
Ridgefield,CADAP,0
Ridgefield,CHCPE,23
Ridgefield,CHIP,101
Ridgefield,Medicaid,"1,800"
Ridgefield,MSP,467
Ridgefield,SAGA,6
Ridgefield,SAGA Funeral,0
Ridgefield,SNAP,333
Ridgefield,Social Work Services,0
Ridgefield,State Funded Medical,5
Ridgefield,State Supplement,19
Ridgefield,TFA,9
Rocky Hill,CADAP,0
Rocky Hill,CHCPE,43
Rocky Hill,CHIP,147
Rocky Hill,Medicaid,"3,073"
Rocky Hill,MSP,"1,078"
Rocky Hill,SAGA,36
Rocky Hill,SAGA Funeral,12
Rocky Hill,SNAP,"1,008"
Rocky Hill,Social Work Services,0
Rocky Hill,State Funded Medical,0
Rocky Hill,State Supplement,58
Rocky Hill,TFA,58
Roxbury,CHCPE,0
Roxbury,CHIP,24
Roxbury,Medicaid,247
Roxbury,MSP,65
Roxbury,SNAP,55
Roxbury,State Supplement,6
Roxbury,TFA,0
Salem,CHCPE,0
Salem,CHIP,36
Salem,Medicaid,623
Salem,MSP,114
Salem,SAGA,0
Salem,SAGA Funeral,0
Salem,SNAP,235
Salem,Social Work Services,37
Salem,State Funded Medical,0
Salem,State Supplement,13
Salem,TFA,16
Salisbury,CADAP,0
Salisbury,CHCPE,0
Salisbury,CHIP,24
Salisbury,Medicaid,580
Salisbury,MSP,169
Salisbury,SAGA,0
Salisbury,SNAP,115
Salisbury,Social Work Services,0
Salisbury,State Supplement,11
Salisbury,TFA,18
Scotland,CADAP,0
Scotland,CHCPE,0
Scotland,CHIP,10
Scotland,Medicaid,149
Scotland,MSP,31
Scotland,SNAP,61
Scotland,Social Work Services,7
Scotland,State Supplement,0
Scotland,TFA,0
Seymour,CADAP,0
Seymour,CHCPE,63
Seymour,CHIP,191
Seymour,Medicaid,"3,818"
Seymour,MSP,976
Seymour,SAGA,19
Seymour,SAGA Funeral,0
Seymour,SNAP,"1,466"
Seymour,Social Work Services,0
Seymour,State Funded Medical,0
Seymour,State Supplement,40
Seymour,TFA,75
Sharon,CADAP,0
Sharon,CHCPE,0
Sharon,CHIP,30
Sharon,Medicaid,551
Sharon,MSP,116
Sharon,SAGA,0
Sharon,SAGA Funeral,0
Sharon,SNAP,169
Sharon,Social Work Services,0
Sharon,State Funded Medical,0
Sharon,State Supplement,0
Sharon,TFA,5
Shelton,CADAP,20
Shelton,CHCPE,57
Shelton,CHIP,370
Shelton,Medicaid,"7,299"
Shelton,MSP,"1,901"
Shelton,SAGA,44
Shelton,SAGA Funeral,7
Shelton,SNAP,"2,445"
Shelton,Social Work Services,0
Shelton,State Funded Medical,5
Shelton,State Supplement,56
Shelton,TFA,137
Sherman,CHCPE,5
Sherman,CHIP,38
Sherman,Medicaid,381
Sherman,MSP,77
Sherman,SNAP,74
Sherman,State Funded Medical,0
Sherman,TFA,5
Simsbury,CADAP,0
Simsbury,CHCPE,31
Simsbury,CHIP,119
Simsbury,Medicaid,"2,459"
Simsbury,MSP,583
Simsbury,SAGA,19
Simsbury,SAGA Funeral,12
Simsbury,SNAP,677
Simsbury,Social Work Services,12
Simsbury,State Funded Medical,8
Simsbury,State Supplement,24
Simsbury,TFA,30
Somers,CADAP,0
Somers,CHCPE,12
Somers,CHIP,102
Somers,Medicaid,"1,133"
Somers,MSP,382
Somers,SAGA,7
Somers,SAGA Funeral,0
Somers,SNAP,464
Somers,Social Work Services,0
Somers,State Funded Medical,0
Somers,State Supplement,25
Somers,TFA,33
Southbury,CADAP,0
Southbury,CHCPE,51
Southbury,CHIP,100
Southbury,Medicaid,"2,359"
Southbury,MSP,"1,231"
Southbury,SAGA,13
Southbury,SAGA Funeral,7
Southbury,SNAP,590
Southbury,State Funded Medical,0
Southbury,State Supplement,68
Southbury,TFA,17
Southington,CADAP,8
Southington,CHCPE,90
Southington,CHIP,323
Southington,Medicaid,"6,839"
Southington,MSP,"2,341"
Southington,SAGA,54
Southington,SAGA Funeral,16
Southington,SNAP,"2,491"
Southington,Social Work Services,20
Southington,State Funded Medical,0
Southington,State Supplement,83
Southington,TFA,181
South Windsor,CADAP,5
South Windsor,CHCPE,37
South Windsor,CHIP,187
South Windsor,Medicaid,"3,196"
South Windsor,MSP,"1,035"
South Windsor,SAGA,40
South Windsor,SNAP,"1,155"
South Windsor,Social Work Services,0
South Windsor,State Funded Medical,0
South Windsor,State Supplement,82
South Windsor,TFA,67
Sprague,CADAP,0
Sprague,CHCPE,0
Sprague,CHIP,35
Sprague,Medicaid,"1,122"
Sprague,MSP,170
Sprague,SAGA,8
Sprague,SAGA Funeral,0
Sprague,SNAP,591
Sprague,Social Work Services,34
Sprague,State Funded Medical,0
Sprague,State Supplement,15
Sprague,TFA,33
Stafford,CADAP,0
Stafford,CHCPE,23
Stafford,CHIP,116
Stafford,Medicaid,"2,682"
Stafford,MSP,784
Stafford,SAGA,24
Stafford,SAGA Funeral,17
Stafford,SNAP,"1,257"
Stafford,Social Work Services,36
Stafford,State Funded Medical,0
Stafford,State Supplement,22
Stafford,TFA,97
Stamford,CADAP,135
Stamford,CHCPE,111
Stamford,CHIP,"1,391"
Stamford,Medicaid,"34,181"
Stamford,MSP,"5,347"
Stamford,Refugee Cash,0
Stamford,SAGA,312
Stamford,SAGA Funeral,27
Stamford,SNAP,"12,624"
Stamford,Social Work Services,46
Stamford,State Funded Medical,25
Stamford,State Medical,0
Stamford,State Supplement,376
Stamford,TFA,"1,132"
Sterling,CHCPE,0
Sterling,CHIP,47
Sterling,Medicaid,931
Sterling,MSP,175
Sterling,SAGA,11
Sterling,SAGA Funeral,0
Sterling,SNAP,446
Sterling,Social Work Services,83
Sterling,State Supplement,11
Sterling,TFA,28
Stonington,CADAP,5
Stonington,CHCPE,25
Stonington,CHIP,208
Stonington,Medicaid,"4,430"
Stonington,MSP,"1,249"
Stonington,SAGA,31
Stonington,SAGA Funeral,6
Stonington,SNAP,"1,659"
Stonington,Social Work Services,28
Stonington,State Funded Medical,0
Stonington,State Supplement,82
Stonington,TFA,111
Stratford,CADAP,35
Stratford,CHCPE,77
Stratford,CHIP,669
Stratford,Medicaid,"14,481"
Stratford,MSP,"2,778"
Stratford,SAGA,105
Stratford,SAGA Funeral,15
Stratford,SNAP,"5,883"
Stratford,Social Work Services,29
Stratford,State Funded Medical,14
Stratford,State Supplement,165
Stratford,TFA,335
Suffield,CADAP,5
Suffield,CHCPE,22
Suffield,CHIP,68
Suffield,Medicaid,"1,612"
Suffield,MSP,471
Suffield,SAGA,12
Suffield,SAGA Funeral,0
Suffield,SNAP,530
Suffield,Social Work Services,8
Suffield,State Funded Medical,0
Suffield,State Supplement,15
Suffield,TFA,18
Thomaston,CHCPE,18
Thomaston,CHIP,70
Thomaston,Medicaid,"1,536"
Thomaston,MSP,483
Thomaston,SAGA,9
Thomaston,SAGA Funeral,0
Thomaston,SNAP,681
Thomaston,Social Work Services,9
Thomaston,State Funded Medical,6
Thomaston,State Supplement,28
Thomaston,TFA,49
Thompson,CADAP,6
Thompson,CHCPE,8
Thompson,CHIP,86
Thompson,Medicaid,"2,042"
Thompson,MSP,573
Thompson,SAGA,12
Thompson,SAGA Funeral,0
Thompson,SNAP,939
Thompson,Social Work Services,46
Thompson,State Funded Medical,0
Thompson,State Supplement,25
Thompson,TFA,67
Tolland,CADAP,0
Tolland,CHCPE,20
Tolland,CHIP,98
Tolland,Medicaid,"1,568"
Tolland,MSP,433
Tolland,SAGA,15
Tolland,SAGA Funeral,0
Tolland,SNAP,474
Tolland,Social Work Services,11
Tolland,State Funded Medical,0
Tolland,State Supplement,22
Tolland,TFA,20
Torrington,CADAP,14
Torrington,CHCPE,69
Torrington,CHIP,424
Torrington,Medicaid,"13,431"
Torrington,MSP,"3,373"
Torrington,SAGA,150
Torrington,SAGA Funeral,24
Torrington,SNAP,"6,787"
Torrington,Social Work Services,31
Torrington,State Funded Medical,19
Torrington,State Medical,0
Torrington,State Supplement,289
Torrington,TFA,356
Trumbull,CADAP,7
Trumbull,CHCPE,51
Trumbull,CHIP,299
Trumbull,Medicaid,"4,871"
Trumbull,MSP,"1,386"
Trumbull,SAGA,33
Trumbull,SAGA Funeral,11
Trumbull,SNAP,"1,035"
Trumbull,Social Work Services,26
Trumbull,State Funded Medical,8
Trumbull,State Supplement,125
Trumbull,TFA,36
Union,CHCPE,0
Union,CHIP,0
Union,Medicaid,82
Union,MSP,18
Union,SAGA,0
Union,SNAP,35
Union,Social Work Services,0
Union,State Supplement,0
Unknown,Medicaid,45
Unknown,MSP,0
Unknown,SNAP,5
Unknown,Social Work Services,0
Vernon,CADAP,15
Vernon,CHCPE,90
Vernon,CHIP,249
Vernon,Medicaid,"9,015"
Vernon,MSP,"2,190"
Vernon,SAGA,108
Vernon,SAGA Funeral,20
Vernon,SNAP,"5,023"
Vernon,Social Work Services,25
Vernon,State Funded Medical,6
Vernon,State Supplement,210
Vernon,TFA,446
Voluntown,CADAP,0
Voluntown,CHCPE,0
Voluntown,CHIP,23
Voluntown,Medicaid,538
Voluntown,MSP,119
Voluntown,SAGA,0
Voluntown,SNAP,223
Voluntown,Social Work Services,14
Voluntown,State Funded Medical,0
Voluntown,State Supplement,0
Voluntown,TFA,11
Wallingford,CADAP,13
Wallingford,CHCPE,64
Wallingford,CHIP,379
Wallingford,Medicaid,"8,554"
Wallingford,MSP,"2,478"
Wallingford,SAGA,63
Wallingford,SAGA Funeral,10
Wallingford,SNAP,"3,083"
Wallingford,Social Work Services,11
Wallingford,State Funded Medical,0
Wallingford,State Medical,0
Wallingford,State Supplement,218
Wallingford,TFA,148
Warren,CHCPE,0
Warren,CHIP,14
Warren,Medicaid,175
Warren,MSP,30
Warren,SNAP,37
Warren,TFA,0
Washington,CADAP,0
Washington,CHCPE,6
Washington,CHIP,45
Washington,Medicaid,499
Washington,MSP,111
Washington,SAGA,0
Washington,SNAP,108
Washington,TFA,5
Waterbury,CADAP,105
Waterbury,CHCPE,239
Waterbury,CHIP,"1,396"
Waterbury,ConnTRANS,0
Waterbury,Medicaid,"71,342"
Waterbury,MSP,"10,532"
Waterbury,Refugee Cash,0
Waterbury,SAGA,860
Waterbury,SAGA Funeral,67
Waterbury,SNAP,"46,624"
Waterbury,Social Work Services,724
Waterbury,State Funded Medical,64
Waterbury,State Medical,0
Waterbury,State Supplement,"1,486"
Waterbury,TFA,"4,641"
Waterford,CADAP,5
Waterford,CHCPE,38
Waterford,CHIP,134
Waterford,Medicaid,"3,754"
Waterford,MSP,"1,133"
Waterford,SAGA,33
Waterford,SAGA Funeral,12
Waterford,SNAP,"1,408"
Waterford,Social Work Services,41
Waterford,State Funded Medical,5
Waterford,State Supplement,83
Waterford,TFA,50
Watertown,CADAP,0
Watertown,CHCPE,53
Watertown,CHIP,217
Watertown,Medicaid,"4,331"
Watertown,MSP,"1,372"
Watertown,SAGA,21
Watertown,SAGA Funeral,0
Watertown,SNAP,"1,602"
Watertown,Social Work Services,25
Watertown,State Funded Medical,6
Watertown,State Supplement,156
Watertown,TFA,73
Westbrook,CADAP,0
Westbrook,CHCPE,11
Westbrook,CHIP,44
Westbrook,Medicaid,"1,218"
Westbrook,MSP,498
Westbrook,SAGA,13
Westbrook,SNAP,442
Westbrook,Social Work Services,7
Westbrook,State Funded Medical,0
Westbrook,State Supplement,38
Westbrook,TFA,0
West Hartford,CADAP,16
West Hartford,CHCPE,100
West Hartford,CHIP,397
West Hartford,Medicaid,"11,367"
West Hartford,MSP,"3,063"
West Hartford,Refugee Cash,0
West Hartford,SAGA,115
West Hartford,SAGA Funeral,29
West Hartford,SNAP,"4,787"
West Hartford,Social Work Services,51
West Hartford,State Funded Medical,8
West Hartford,State Medical,0
West Hartford,State Supplement,476
West Hartford,TFA,303
West Haven,CADAP,69
West Haven,CHCPE,84
West Haven,CHIP,614
West Haven,ConnTRANS,0
West Haven,Medicaid,"21,100"
West Haven,MSP,"3,455"
West Haven,Refugee Cash,0
West Haven,SAGA,230
West Haven,SAGA Funeral,21
West Haven,SNAP,"11,109"
West Haven,Social Work Services,26
West Haven,State Funded Medical,18
West Haven,State Medical,0
West Haven,State Supplement,251
West Haven,TFA,897
Weston,CHCPE,0
Weston,CHIP,40
Weston,Medicaid,648
Weston,MSP,91
Weston,SAGA,0
Weston,SNAP,65
Weston,Social Work Services,0
Weston,State Supplement,7
Weston,TFA,0
Westport,CADAP,0
Westport,CHCPE,21
Westport,CHIP,115
Westport,Medicaid,"1,997"
Westport,MSP,513
Westport,SAGA,12
Westport,SAGA Funeral,0
Westport,SNAP,493
Westport,Social Work Services,0
Westport,State Funded Medical,0
Westport,State Supplement,37
Westport,TFA,30
Wethersfield,CADAP,7
Wethersfield,CHCPE,57
Wethersfield,CHIP,258
Wethersfield,Medicaid,"4,780"
Wethersfield,MSP,"1,607"
Wethersfield,SAGA,66
Wethersfield,SAGA Funeral,10
Wethersfield,SNAP,"2,251"
Wethersfield,Social Work Services,14
Wethersfield,State Funded Medical,8
Wethersfield,State Supplement,92
Wethersfield,TFA,113
Willington,CADAP,0
Willington,CHCPE,5
Willington,CHIP,38
Willington,Medicaid,"1,004"
Willington,MSP,221
Willington,SAGA,6
Willington,SNAP,381
Willington,Social Work Services,94
Willington,State Supplement,46
Willington,TFA,15
Wilton,CHCPE,17
Wilton,CHIP,68
Wilton,Medicaid,"1,450"
Wilton,MSP,505
Wilton,SAGA,5
Wilton,SAGA Funeral,5
Wilton,SNAP,197
Wilton,Social Work Services,0
Wilton,State Funded Medical,0
Wilton,State Supplement,11
Wilton,TFA,14
Winchester,CADAP,0
Winchester,CHCPE,19
Winchester,CHIP,117
Winchester,Medicaid,"3,638"
Winchester,MSP,990
Winchester,SAGA,35
Winchester,SAGA Funeral,0
Winchester,SNAP,"1,737"
Winchester,Social Work Services,9
Winchester,State Funded Medical,10
Winchester,State Supplement,84
Winchester,TFA,103
Windham,CADAP,20
Windham,CHCPE,39
Windham,CHIP,222
Windham,Medicaid,"12,599"
Windham,MSP,"2,187"
Windham,SAGA,214
Windham,SAGA Funeral,20
Windham,SNAP,"8,582"
Windham,Social Work Services,460
Windham,State Funded Medical,8
Windham,State Medical,0
Windham,State Supplement,190
Windham,TFA,849
Windsor,CADAP,18
Windsor,CHCPE,34
Windsor,CHIP,348
Windsor,Medicaid,"8,847"
Windsor,MSP,"1,630"
Windsor,SAGA,153
Windsor,SAGA Funeral,13
Windsor,SNAP,"4,430"
Windsor,Social Work Services,25
Windsor,State Funded Medical,7
Windsor,State Supplement,207
Windsor,TFA,405
Windsor Locks,CADAP,5
Windsor Locks,CHCPE,16
Windsor Locks,CHIP,131
Windsor Locks,Medicaid,"3,275"
Windsor Locks,MSP,685
Windsor Locks,SAGA,36
Windsor Locks,SAGA Funeral,0
Windsor Locks,SNAP,"1,517"
Windsor Locks,Social Work Services,5
Windsor Locks,State Funded Medical,0
Windsor Locks,State Supplement,42
Windsor Locks,TFA,78
Wolcott,CADAP,0
Wolcott,CHCPE,48
Wolcott,CHIP,140
Wolcott,Medicaid,"2,999"
Wolcott,MSP,994
Wolcott,SAGA,20
Wolcott,SAGA Funeral,0
Wolcott,SNAP,"1,074"
Wolcott,Social Work Services,14
Wolcott,State Funded Medical,0
Wolcott,State Supplement,60
Wolcott,TFA,31
Woodbridge,CHCPE,13
Woodbridge,CHIP,57
Woodbridge,Medicaid,"1,035"
Woodbridge,MSP,253
Woodbridge,SAGA,0
Woodbridge,SAGA Funeral,0
Woodbridge,SNAP,192
Woodbridge,Social Work Services,0
Woodbridge,State Funded Medical,0
Woodbridge,State Supplement,13
Woodbridge,TFA,13
Woodbury,CHCPE,23
Woodbury,CHIP,69
Woodbury,Medicaid,"1,316"
Woodbury,MSP,405
Woodbury,SAGA,8
Woodbury,SNAP,338
Woodbury,Social Work Services,0
Woodbury,State Supplement,30
Woodbury,TFA,12
Woodstock,CADAP,0
Woodstock,CHCPE,0
Woodstock,CHIP,79
Woodstock,Medicaid,"1,213"
Woodstock,MSP,270
Woodstock,SAGA,0
Woodstock,SNAP,345
Woodstock,Social Work Services,12
Woodstock,State Funded Medical,0
Woodstock,State Supplement,9
Woodstock,TFA,11
